sweep_id,dataset,model,model_hidden_layers,loss,id,validation_accuracy,parameter_1_name,parameter_1_value,parameter_2_name,parameter_2_value
3q1h7ndk,phomene,bmlp,"[100,30]",scfe_regularization,1,0.8908418416976929,loss_alpha,-0.0592157391000635,estimator_reg_coef_value,1.4237822790267265
3q1h7ndk,phomene,bmlp,"[100,30]",scfe_regularization,2,0.88899165391922,loss_alpha,-0.07573115658577245,estimator_reg_coef_value,1.652727175112534
3q1h7ndk,phomene,bmlp,"[100,30]",scfe_regularization,3,0.88899165391922,loss_alpha,-0.013843232733558477,estimator_reg_coef_value,0.23045464638694815
3q1h7ndk,phomene,bmlp,"[100,30]",scfe_regularization,4,0.88899165391922,loss_alpha,-0.14710588609683306,estimator_reg_coef_value,1.9595495685499047
3q1h7ndk,phomene,bmlp,"[100,30]",scfe_regularization,5,0.8880665898323059,loss_alpha,-0.115721159895679,estimator_reg_coef_value,2.0463178526171006
3q1h7ndk,phomene,bmlp,"[100,30]",scfe_regularization,6,0.8880665898323059,loss_alpha,-0.08466725951787601,estimator_reg_coef_value,1.461178706434243
3q1h7ndk,phomene,bmlp,"[100,30]",scfe_regularization,7,0.8871415257453918,loss_alpha,-0.07340175361183043,estimator_reg_coef_value,2.232463428748813
3q1h7ndk,phomene,bmlp,"[100,30]",scfe_regularization,8,0.8871415257453918,loss_alpha,-0.08371769155278819,estimator_reg_coef_value,1.2930491216420936
3q1h7ndk,phomene,bmlp,"[100,30]",scfe_regularization,9,0.8862164616584778,loss_alpha,-0.020983454302581417,estimator_reg_coef_value,0.11742129443742436
3q1h7ndk,phomene,bmlp,"[100,30]",scfe_regularization,10,0.8852913975715637,loss_alpha,-0.08046177661099585,estimator_reg_coef_value,0.27458851979798654
3q1h7ndk,phomene,bmlp,"[100,30]",scfe_regularization,11,0.8852913975715637,loss_alpha,-0.1658864590276664,estimator_reg_coef_value,2.249253788030351
3q1h7ndk,phomene,bmlp,"[100,30]",scfe_regularization,12,0.8852913975715637,loss_alpha,-0.10892989623243188,estimator_reg_coef_value,2.162514853667971
3q1h7ndk,phomene,bmlp,"[100,30]",scfe_regularization,13,0.8843663334846497,loss_alpha,-0.08518946601053023,estimator_reg_coef_value,2.2962961912150854
3q1h7ndk,phomene,bmlp,"[100,30]",scfe_regularization,14,0.8834412693977356,loss_alpha,-0.06390815822725926,estimator_reg_coef_value,1.7856758442784983
3q1h7ndk,phomene,bmlp,"[100,30]",scfe_regularization,15,0.8834412693977356,loss_alpha,-0.07193751092527323,estimator_reg_coef_value,2.024479427543208
3q1h7ndk,phomene,bmlp,"[100,30]",scfe_regularization,16,0.8834412693977356,loss_alpha,-0.10481018831581423,estimator_reg_coef_value,1.939125354607936
3q1h7ndk,phomene,bmlp,"[100,30]",scfe_regularization,17,0.8834412693977356,loss_alpha,-0.05332957733533905,estimator_reg_coef_value,0.18787319120716645
3q1h7ndk,phomene,bmlp,"[100,30]",scfe_regularization,18,0.8834412693977356,loss_alpha,-0.010282006761963114,estimator_reg_coef_value,1.1443794594470194
3q1h7ndk,phomene,bmlp,"[100,30]",scfe_regularization,19,0.8834412693977356,loss_alpha,-0.1098277699024357,estimator_reg_coef_value,1.947113045334294
3q1h7ndk,phomene,bmlp,"[100,30]",scfe_regularization,20,0.8834412693977356,loss_alpha,-0.01966231784096406,estimator_reg_coef_value,0.20385493465994323
3q1h7ndk,phomene,bmlp,"[100,30]",scfe_regularization,21,0.8834412693977356,loss_alpha,-0.09925515487048175,estimator_reg_coef_value,1.600850238764277
3q1h7ndk,phomene,bmlp,"[100,30]",scfe_regularization,22,0.8825162053108215,loss_alpha,-0.1073321105223144,estimator_reg_coef_value,2.144314989318658
3q1h7ndk,phomene,bmlp,"[100,30]",scfe_regularization,23,0.8825162053108215,loss_alpha,-0.06934908298817044,estimator_reg_coef_value,0.18324949933273493
3q1h7ndk,phomene,bmlp,"[100,30]",scfe_regularization,24,0.8825162053108215,loss_alpha,-0.07214775934493489,estimator_reg_coef_value,1.9154636852445148
3q1h7ndk,phomene,bmlp,"[100,30]",scfe_regularization,25,0.8825162053108215,loss_alpha,-0.03266068868266958,estimator_reg_coef_value,1.2463211214767385
3q1h7ndk,phomene,bmlp,"[100,30]",scfe_regularization,26,0.8825162053108215,loss_alpha,-0.027718915354443152,estimator_reg_coef_value,2.2582501185476187
3q1h7ndk,phomene,bmlp,"[100,30]",scfe_regularization,27,0.8825162053108215,loss_alpha,-0.019605891517559204,estimator_reg_coef_value,0.17376715910339988
3q1h7ndk,phomene,bmlp,"[100,30]",scfe_regularization,28,0.8815911412239075,loss_alpha,-0.011282148854580454,estimator_reg_coef_value,0.31984187698849986
3q1h7ndk,phomene,bmlp,"[100,30]",scfe_regularization,29,0.8815911412239075,loss_alpha,-0.04525371999029659,estimator_reg_coef_value,0.1120866232146717
3q1h7ndk,phomene,bmlp,"[100,30]",scfe_regularization,30,0.8815911412239075,loss_alpha,-0.026810768887587377,estimator_reg_coef_value,1.8542279599116949
3q1h7ndk,phomene,bmlp,"[100,30]",scfe_regularization,31,0.8806660771369934,loss_alpha,-0.014606371143829122,estimator_reg_coef_value,1.420017981231426
3q1h7ndk,phomene,bmlp,"[100,30]",scfe_regularization,32,0.8806660771369934,loss_alpha,-0.044023874223857895,estimator_reg_coef_value,1.355783182138154
